2021-11-11.14:28:48:  Initializing Epsilon Engine
2021-11-11.14:28:49:  OpenGL VENDOR: NVIDIA Corporation
2021-11-11.14:28:49:  Video RENDERER: 4.5.0 NVIDIA 496.49
2021-11-11.14:28:49:  OpenGL VERSION: NVIDIA GeForce RTX 2080 Ti/PCIe/SSE2
2021-11-11.14:28:49:  Texture: materials/smoke.pngData Loaded.
2021-11-11.14:28:49:  Texture: smoke.png Loaded.
2021-11-11.14:28:49:  Vertex shader: shaders/splashv.glsl was successfully compiled.
2021-11-11.14:28:49:  Fragment shader: shaders/splashf.glsl was successfully compiled.
2021-11-11.14:28:49:  Texture: materials/Survtech.pngData Loaded.
2021-11-11.14:28:49:  Texture: Survtech.png Loaded.
2021-11-11.14:28:49:  Vertex shader: shaders/grass.vglsl was successfully compiled.
2021-11-11.14:28:49:  Fragment shader: shaders/grass.fglsl was successfully compiled.
2021-11-11.14:28:49:  Vertex shader: shaders/Geometry.vglsl was successfully compiled.
2021-11-11.14:28:49:  Fragment shader: shaders/Geometry.fglsl was successfully compiled.
2021-11-11.14:28:49:  Vertex shader: shaders/Geometry.vglsl was successfully compiled.
2021-11-11.14:28:49:  Fragment shader: shaders/GeometryTerrain.fglsl was successfully compiled.
2021-11-11.14:28:49:  Vertex shader: shaders/Sun.vglsl was successfully compiled.
2021-11-11.14:28:49:  Fragment shader: shaders/Sun.fglsl was successfully compiled.
2021-11-11.14:28:49:  Vertex shader: shaders/skybox.vglsl was successfully compiled.
2021-11-11.14:28:49:  Fragment shader: shaders/_skybox.fglsl was successfully compiled.
2021-11-11.14:28:49:  Vertex shader: shaders/_skybox_cubemap_vertex.glsl was successfully compiled.
2021-11-11.14:28:49:  Fragment shader: shaders/_skybox_cubemap.glsl was successfully compiled.
2021-11-11.14:28:49:  Vertex shader: shaders/MD5Geometryv.glsl was successfully compiled.
2021-11-11.14:28:49:  Fragment shader: shaders/MD5Geometryf.glsl was successfully compiled.
2021-11-11.14:28:49:  Vertex shader: shaders/ShadowMappingv.glsl was successfully compiled.
2021-11-11.14:28:49:  Fragment shader: shaders/ShadowMappingf.glsl was successfully compiled.
2021-11-11.14:28:49:  Vertex shader: shaders/MD5GeometryShadowv.glsl was successfully compiled.
